,sport,school,coach
304,baseball,"Madison (Adrian, MI)",Chris Dubbs
305,baseball,Manchester,Corey Fether
306,baseball,Manistee,David Edmondson
307,baseball,Manton,Josh Franklin
308,baseball,Maple Valley,Bryan Carpenter
309,baseball,McBain,Chad Grundy
310,baseball,Millington,Chris Dipzinski
311,baseball,Montabella,bill burggren
312,baseball,Montague,Kevin Buchberger
313,baseball,Morley Stanwood,Joshua Bull
314,baseball,Napoleon,Jeff Mohr
315,baseball,Negaunee,Jason Siik
316,baseball,New Haven,Joel Schmitt
317,baseball,New Lothrop,benjamin almasy
318,baseball,Newaygo,Jeff Milbourne
319,baseball,North Muskegon,Steven Cutter
320,baseball,Onsted,Matt Randall
321,baseball,Oscoda,Robert Skodack
322,baseball,Parchment,Robert Dreier
323,baseball,Pinconning,Jeff Sanak
324,baseball,Pine River Area,Brian Goodenow
325,baseball,Quincy,Brett Allman
326,baseball,Reese,David Elliott
327,baseball,Richard,Michael Magier
328,baseball,Sand Creek,Derek Hewitt
329,baseball,Sandusky,Tony Reinke
330,baseball,Saugatuck,Tim Antel
331,baseball,Schoolcraft,Courtney Jasiak
332,baseball,Shepherd,Mark Wieferich
333,baseball,St. Francis,Duane Painter
334,baseball,St. Mary Catholic Central,Ryan Grabetz
335,baseball,Stockbridge,Ben Learned
336,baseball,Tawas Area,James Gorman
337,baseball,Taylor Prep,Doug Sombati
338,baseball,Union City,Josh Hayes
339,baseball,Valley Lutheran,Kurt Hofmeister
340,baseball,Vassar,Jason Hahn
341,baseball,Western Michigan Christian,Chris Van Hekken
342,baseball,Addison,john nicholl
343,baseball,Akron-Fairgrove,Donnie Englehart
344,baseball,All Saints Central,Mike Regulski
345,baseball,Ashley,Daniel Craddock
346,baseball,Athens,Merl Smith
347,baseball,Atlanta,Sean Barrett
348,baseball,Baldwin,Doug Bolles
349,baseball,Beal City,Brad Antcliff
350,baseball,Bellevue,Jay Magro
351,baseball,Boyne Falls,Allen Telgenhof
