,sport,school,coach
289,baseball,Canyon State Academy,Rob Bennett
290,baseball,East Valley Athletes for Christ,Derrick Tuten
291,baseball,ASU Prep,Ernie Gortarez
292,baseball,San Tan Charter,Preston English
293,baseball,Madison Highland Prep,Bruce Fuller
294,baseball,Imagine Prep Coolidge,Luis Gomez
295,baseball,Desert Heights Prep,Steven Delcegno
296,baseball,Sequoia Pathway Academy,Joe Klepfer
297,baseball,Mogollon,Reed Porter
298,baseball,Mohave Accelerated,Ray Dimick
299,baseball,Ray,Alfred Lechuga
300,baseball,San Pasqual Valley,Faron Owl
301,baseball,Anthem Prep,Kelly Kuchta
302,baseball,Red Mesa,Brad Burghart
303,baseball,Williams,John Hatcher
304,baseball,Hayden,Robert Lorona
305,baseball,Mayer,Patrick Statler
306,baseball,Superior,Manuel Ortega
307,baseball,St. David,Ron Goodman
308,baseball,Joseph City,Shawn Layden
309,baseball,Bagdad,Dalton Mills
310,baseball,Fredonia,Derran Tait
311,baseball,Duncan,Brett Jensen
312,baseball,Ash Fork,Sonny Martin
313,baseball,Fort Thomas,Chris Rubio
314,baseball,Arete Prep,Rick Alvarez
315,baseball,Patagonia,Hector Zuniga
316,baseball,Rock Point,Andrew Sanchez
317,baseball,Rough Rock,kenneth van pelt
318,baseball,San Simon,Mike Zamudio
319,baseball,Scottsdale Preparatory Academy,David ?Dusty? Primavera
320,baseball,Phoenix Christian,Mark Band
321,baseball,Trivium Prep,Danny Rodriguez
322,baseball,Scottsdale Christian Academy,Tim Salmon
323,baseball,Heritage Academy,Steve Farris
324,baseball,Desert Christian,David Jorg
325,baseball,Alchesay,Ray Acosta
326,baseball,Camp Verde,Will Davis
327,baseball,Tombstone,James Milligan
328,baseball,Miami,Brandon Powell
329,baseball,Tonopah Valley,Phillip Miglio
330,baseball,Northland Prep Academy,Matt Schmidt
331,baseball,Morenci,joseph morse
332,baseball,St. Augustine Catholic,Dan Ramirez
333,baseball,Bisbee,Todd Hammett
334,baseball,Benson,Fred Trujillo
335,baseball,Phoenix Country Day,Ted LeClair
336,baseball,San Carlos,Terry Antonio
337,baseball,Tempe Prep,Brad Sullivan
338,baseball,St. Johns,Ray Davis
339,baseball,Red Rock,Pedro Ortega
340,baseball,Round Valley,Troy Merrill
341,baseball,Greyhills Academy,Craig Claw
342,baseball,Parker,Sean Golding
343,baseball,Willcox,Adrian Fuentes
344,baseball,North Pointe Prep,Daniel Brodeur
345,baseball,Gilbert Classical Academy,Tyler Lee
346,baseball,Chandler Prep,Martin Vilaboy
347,baseball,Santa Cruz Valley,Oscar Porras
348,baseball,Many Farms,Shawn Deschenie
349,baseball,Thatcher,Dustin Seale
350,baseball,Arizona Lutheran Academy,Scott Hill
351,baseball,Antelope,Rocky Jaime
352,baseball,Veritas Prep,Jacob Bruns
353,baseball,Glendale Prep Academy,Rafael Sanchez
354,baseball,Valley,Joe Schober
355,baseball,Pima,Greg Cooper
356,baseball,Pinon,Myron McLaughlin
357,baseball,San Miguel,Eric Bustamante
358,baseball,Globe,Jc Castaneda
359,baseball,Hopi,Farron Lomakema
360,baseball,Safford,Robert Abalos
361,baseball,Winslow,Art Griffith
362,baseball,American Leadership Academy - Ironwood,Anthony Delsi
363,baseball,Sahuarita,Sam Gelardi
364,baseball,Tuba City,James Roe
365,baseball,Kingman Academy,Bill McCord
366,baseball,Page,Wyatt Swinton
367,baseball,Paradise Honors,Charles Summers
368,baseball,Show Low,Byron Clark
369,baseball,Pusch Ridge Christian Academy,David Landrith
370,baseball,Gilbert Christian,Adam Rasmussen
371,baseball,Odyssey Institute,Daniel Nelson
372,baseball,Northwest Christian,Bob Howry
373,baseball,Chino Valley,Jason Olson
374,baseball,Wickenburg,Gary Hodgkiss
375,baseball,Horizon Honors,Tom Kandler
376,baseball,San Tan Foothills,Ryan Sutterby
377,baseball,American Leadership Academy,John Kuntz
378,baseball,Chinle,Charles Kimbrough
379,baseball,Tanque Verde,Nick Cudaback
380,baseball,Bourgade Catholic,Bobby Delgado
381,baseball,Monument Valley,Fred Todachine
382,baseball,Snowflake,Bryan Lang
383,baseball,Window Rock,Kody Wauneka
384,baseball,Payson,Brian Young
385,baseball,Fountain Hills,Bob Langer
386,baseball,Florence,J.T. Neal
387,baseball,Coolidge,Justin Rico
388,baseball,Catalina,Cody Downing
389,baseball,Yuma Catholic,Curt Foppe
390,baseball,Benjamin Franklin,Todd Cook
391,baseball,Kingman,Chad Baitinger
392,baseball,Blue Ridge,Scott Hoffmeyer
393,baseball,River Valley,Michael Giannamore
394,baseball,Ganado,Jordan Mescal
395,baseball,Salpointe Catholic,Danny Preble
396,baseball,Poston Butte,Chris Holcombe
397,baseball,Douglas,Gilbert Rojas
398,baseball,Vista Grande,Harley Grigg
399,baseball,Desert Edge,Christopher Hoth
400,baseball,Catalina Foothills,James Baldwin
401,baseball,Mohave,Rex Roediger
402,baseball,Saguaro,Joe Muecke
403,baseball,Lee Williams,Patrick O'Boyle
404,baseball,Estrella Foothills,Patrick McCubbins
405,baseball,Arcadia,Matt Sugarman
406,baseball,Combs,Rick Surls
407,baseball,Peoria,Shawn Sullivan
408,baseball,Thunderbird,Michael Jacobs
409,baseball,Gila Ridge,James Kuzniak
410,baseball,Greenway,Scott Mueller
411,baseball,Coconino,Daniel Vander Valk
412,baseball,Lake Havasu,kit Borg
413,baseball,Walden Grove,Miguel Gomez
414,baseball,Mesquite,Jeff Holland
415,baseball,Glendale,Marc Fairfield
416,baseball,Dysart,Nicholas Rizzi
417,baseball,Tempe,Bryan Maxwell
418,baseball,Deer Valley,Greg Rice
419,baseball,Buckeye,Kevin Battaglia
420,baseball,Casa Grande,John Batina
421,baseball,St. Mary's,Chris Rideau
422,baseball,Prescott,Kent Winslow
423,baseball,Shadow Mountain,Jon Pulli
424,baseball,Sahuaro,Britt Echols
425,baseball,Mingus,Bob Young
426,baseball,Flagstaff,Michael DoBosh
427,baseball,Youngker,James Mayfield
428,baseball,Cortez,David West
429,baseball,Apache Junction,Alex Murphy
430,baseball,Rio Rico,Hector Zuniga
431,baseball,Coronado,Don Spaniak
432,baseball,Washington,Beau Polvorosa
433,baseball,Marcos de Niza,Matt Courtney
434,baseball,Cactus,Taylor Erwin
435,baseball,Yuma,Nicholas Johnson
436,baseball,Palo Verde,Ryan Burnison
437,baseball,Moon Valley,Trey Lidle
438,baseball,Viola,Clayton Gardner
439,baseball,Armorel,Charles Brown
440,baseball,Jasper,Steve Williams
441,baseball,County Line,Ryan Casalman
442,baseball,West Side,Shane Davis
443,baseball,Taylor,Brian Fowler
444,baseball,Hermitage,Tyler Caruthers
445,baseball,Crowley's Ridge Academy,Royce McMillon
446,baseball,Norfork,Kevin Bodenhamer
447,baseball,Wonderview,Phil Golden
448,baseball,Sacred Heart,Tyler Gattin
449,baseball,Mammoth Spring,Denny Young
450,baseball,Bradley,Chase Whitehead
451,baseball,Western Yell County,Dakota Thiel
452,baseball,Scranton,Cory white
453,baseball,Midland,Ryan Vericker
454,baseball,Mountain Pine,Joseph Alderman
455,baseball,Shirley,Jace Bradley
456,baseball,Abundant Life,Tim Shelton
457,baseball,Hillcrest,Andy Durham
458,baseball,Maynard,Mark Blackwell
459,baseball,Mt. Vernon-Enola,Joshua Zarlingo
460,baseball,Calico Rock,Alex Skidmore
461,baseball,Omaha,Brad Atchley
462,baseball,Augusta,Zachary Noga
463,baseball,Deer,Calvice Casey
464,baseball,Alpena,Alan Nix
465,baseball,Ouachita,Anthony Nail
466,baseball,Brinkley,Roger Privett
467,baseball,Mineral Springs,Brian Strickland
468,baseball,Blevins,Jeffrey Steed
469,baseball,Bradford,Donald Swiney
470,baseball,Bruno-Pyatt,Greg Crow
471,baseball,Caddo Hills,Justin Henderson
472,baseball,Concord,Keith Cornett
473,baseball,Dermott,Courtney Story
474,baseball,Izard County,Billy McBride
475,baseball,Kirby,Marty Smith
476,baseball,Nevada,Rick McAfee
477,baseball,Rector,Robert Dorman
478,baseball,Mountainburg,TOm Harrell
479,baseball,Bay,Brandon Nix
480,baseball,Murfreesboro,Marc McRae
481,baseball,Flippin,Ronnie Blevins
482,baseball,Carlisle,Steven Tew
483,baseball,Hampton,Steven Moore
484,baseball,Melbourne,Jeff Seay
485,baseball,Nemo Vista,Josh Baker
486,baseball,Danville,austin mcknight
487,baseball,Magnet Cove,Robert Webb
488,baseball,Riverside,Ben Hogard
489,baseball,St. Joseph,Luke Davis
490,baseball,Harmony Grove,Blake Williams
491,baseball,Spring Hill,Nick Smith
492,baseball,Woodlawn,Tommy Richardson
493,baseball,Lafayette County,Jeff Glover
494,baseball,Horatio,Stephen Sprick
495,baseball,Fordyce,Timothy Rodgers
496,baseball,South Side,Jeffery Liggin
497,baseball,Dierks,Jarrod Fannin
498,baseball,Poyen,Parker Nash
499,baseball,Des Arc,Jim Featherston
500,baseball,Parkers Chapel,Mark Looney
501,baseball,Junction City,joe hammett
502,baseball,Mount Ida,Zack Wuichet
503,baseball,Salem,Seth Brazeal
504,baseball,Bearden,Brandon Austin
505,baseball,Barton,Andy Parker
506,baseball,Cotter,Jarod Jefferson
507,baseball,England,Korey Thompson
508,baseball,East Poinsett County,Adam Chamberlin
509,baseball,Cross County,Richard Havner
510,baseball,Decatur,Jason Porter
511,baseball,White County Central,Zach Anderson
512,baseball,McCrory,glen campbell
513,baseball,Marmaduke,Morgan Hawley
514,baseball,Buffalo Island Central,Tyler Herring
515,baseball,Hazen,joey moseley
516,baseball,Pangburn,Preston Tarkington
517,baseball,Acorn,Scott Bohlman
518,baseball,Bigelow,Craig Neumeier
519,baseball,Lavaca,Coby Graves
520,baseball,Maumelle Charter,Daren Sweat
521,baseball,Marked Tree,Michael Wages
522,baseball,Westside,Kenneth Freeman
523,baseball,Quitman,Kevin Youngblood
524,baseball,Cutter-Morning Star,Terry Daniell
525,baseball,Cossatot River,Bryan Richardson
526,baseball,Yellville-Summit,James Rhodes
527,baseball,Sloan-Hendrix,Burton Winston
528,baseball,Gurdon,Austen Halliday
529,baseball,Magazine,randy loyd
530,baseball,Foreman,Josh Fleming
531,baseball,Booneville,Arron Kimes
532,baseball,Gosnell,Garrett Hart
533,baseball,Dumas,Clint Huddleston
534,baseball,Elkins,Jeff Eddleman
535,baseball,Cave City,Jamie King
536,baseball,Fouke,Phillip McFerrin
537,baseball,Waldron,Mark Brigance
538,baseball,Harrisburg,Greg Biggers
539,baseball,Episcopal,Richie Marsh
540,baseball,Tuckerman,Joseph Roberts
541,baseball,Palestine-Wheatley,Andrew Beck
542,baseball,DeWitt,Drew Horton
543,baseball,Mountain View,Curtis Sims
544,baseball,Perryville,Jason Wilson
545,baseball,Ashdown,Charles Cross
546,baseball,Harmony Grove,Brandon Mynhier
547,baseball,Piggott,Alan Rabjohn
548,baseball,Lamar,Larry DeBusk
549,baseball,Valley Springs,Dustin Witty
550,baseball,Central,Jeff Dyer
551,baseball,Paris,Josh Garcia Hart
552,baseball,Rose Bud,Taylor Cooper
553,baseball,Fountain Lake,Josh Wesson
554,baseball,Central Arkansas Christian,Patrick Smith
555,baseball,Harding Academy,Shane Fullerton
556,baseball,Drew Central,Aaron Goad
557,baseball,Bismarck,Bryan Lee
558,baseball,Charleston,Tyler Reese
559,baseball,Manila,Chase Cleveland
560,baseball,Corning,Kyle George
561,baseball,Prescott,Gavan McCauley
562,baseball,Bergman,Russell Borland
563,baseball,McGehee,Jesse Barnes
564,baseball,Greenland,Will McGinnis
565,baseball,Lincoln,Hunter Corbell
566,baseball,West Fork,Lance Tucker
567,baseball,Rivercrest,Stephan Elrod
568,baseball,Rison,Caleb Loe
569,baseball,Walnut Ridge,Jason Belcher
570,baseball,Newport,Rashad Billingsley
571,baseball,Clinton,Robert Prince
572,baseball,Mansfield,Tim Cothran
573,baseball,Cedar Ridge,Kevin Arms
574,baseball,Green Forest,Brandon Stone
575,baseball,Genoa Central,Chris Hudson
576,baseball,Baptist Prep,Eddie Stephenson
577,baseball,Two Rivers,Jonathan Ellis
578,baseball,Dollarway,Greg Cleveland
579,baseball,Hoxie,Adam Dahl
580,baseball,Mayflower,John Atkins
581,baseball,Cedarville,Matthew Chandler
582,baseball,Centerpoint,Kevin Owens
583,baseball,Trumann,Cody Wallis
584,baseball,Glen Rose,Joe Lewallen
585,baseball,Lakeside,Chris Williams
586,baseball,Bald Knob,Joey Nelson
587,baseball,Riverview,Jason Miner
588,baseball,Atkins,Jeff Haralson
589,baseball,Jessieville,ryan oneal
590,baseball,Marshall,Anthony Elliott
591,baseball,Valley View,Josh Allison
592,baseball,Brookland,Bill Taylor
593,baseball,Morrilton,Matt Long
594,baseball,Clarksville,Mitchell Powers
595,baseball,Pea Ridge,John E. King
596,baseball,Batesville,Kelly Rush
597,baseball,Shiloh Christian,Josh Salsbury
598,baseball,Heber Springs,Scott Bramlett
599,baseball,Pocahontas,dustin eddington
600,baseball,Southside,Nathan McCarville
601,baseball,Berryville,David Broseus
602,baseball,Gravette,Bryan Bearden
603,baseball,ESTEM,Cody Dillon
604,baseball,Harrison,Matt Rodden
605,baseball,Highland,Marty Ninemire
606,baseball,Dardanelle,Phil Vega
607,baseball,Subiaco Academy,Adam Winter
608,baseball,Gentry,Justin Ledbetter
609,baseball,Farmington,Jay Harper
610,baseball,Huntsville,Greg Harris
611,baseball,Pottsville,Greg Jones
612,baseball,Westside,Jerry Laird
613,baseball,Dover,Greg Smith
614,baseball,Prairie Grove,Mitch Cameron
615,baseball,Blytheville,Judson Smith
616,baseball,Arkansas,Layne Berry
617,baseball,Greenbrier,Chad Cope
618,baseball,Hot Springs,Justin McArthur
619,baseball,Benton,Mark Balisterri
620,baseball,Jonesboro,Mark Dobson
621,baseball,Parkview,Jerry Bruce
622,baseball,Mountain Home,Tim Carver
623,baseball,Sheridan,Michael Moore
624,baseball,Lakeside,Leighton Hardin
625,baseball,Greenwood,Chad Mercado
626,baseball,Vilonia,Brad Wallace
627,baseball,Watson Chapel,J Keith
628,baseball,Beebe,Chance Cleveland
629,baseball,El Dorado,Cannon Lester
630,baseball,Little Rock Christian Academy,Brandon Eller
631,baseball,Russellville,Will McCrotty
632,baseball,Paragould,Dakota Weatherley
633,baseball,White Hall,Shane Harp
634,baseball,Searcy,Matthew Davis
635,baseball,Lake Hamilton,Matt Weigand
636,baseball,Siloam Springs,Alan Hardcastle
637,baseball,Greene County Tech,bruce hunt
638,baseball,Jacksonville,Larry Burrows
639,baseball,Sylvan Hills,Denny Tipton
640,baseball,Marion,Pete Prater
641,baseball,Alma,Brian Fry
642,baseball,Pine Bluff,Ryan Stinson
643,baseball,Fair,Chase Utley
644,baseball,Maumelle,Barrett Davis
645,baseball,Van Buren,David Loyd
646,baseball,Bentonville West,Chip Durham
647,baseball,Bentonville,Todd Abbott
648,baseball,Springdale,Scott Johnson
649,baseball,Central,Rusty Passini
650,baseball,Cabot,Ronnie Goodwin
651,baseball,Southside,Dale Harpenau
652,baseball,Har-Ber,Dustin Helmkamp
653,baseball,Rogers Heritage,Brian Walker
654,baseball,Rogers,Matt Melson
655,baseball,Catholic,Dustin Strube
656,baseball,Bryant,Kirk Bock
657,baseball,Conway,Noel Boucher
658,baseball,Fayetteville,Scott Gallagher
659,baseball,Flatirons Academy,Dustin Conley
660,baseball,Antonito,Geoffery West
661,baseball,Briggsdale,Ron Mondt
662,baseball,Caliche,jp lambrecht
663,baseball,Centennial,Gilbert Apodaca
664,baseball,Cheyenne Wells,Myles Smith
665,baseball,Cotopaxi,Ryan Christensen
666,baseball,Denver Jewish Day,Daniel Hailpern
667,baseball,Dove Creek,Trent Daves
668,baseball,Eads,Chad Rouse
669,baseball,Elbert,Chris Williams
670,baseball,Evangelical Christian,Bob Deruiter
671,baseball,Genoa-Hugo/Karval,Nathan McDonald
672,baseball,Granada,Jr. Gonzales
673,baseball,Haxtun,Trenton Ham
674,baseball,Manzanola,Scott Egan
675,baseball,Merino,Logan Tharp
676,baseball,Nucla,Clint Wytulka
677,baseball,Otis,Chad Glosson
678,baseball,Peetz,Darrin Fehringer
