,sport,school,coach
202,Basketball,Hampshire,Eric Samuelson
203,Basketball,Morgan Park,Thomas Johnson
204,Basketball,Alcott/DeVry Advantage Academy,Deandre Ross
205,Basketball,Chicago Washington,Sara Kalemba
206,Basketball,Northtown,Jorge Arreguin
207,Basketball,Lemont,Tracy Rainey
208,Basketball,Urbana,Chris Mennig
209,Basketball,Sterling,Taylor Jackson
210,Basketball,St. Laurence,George Shimko
211,Basketball,Danville,Zack Patterson
212,Basketball,Champaign Central,Pancho Moore
213,Basketball,UIC College Prep,Freddy Corral
214,Basketball,Trinity,Kim Coleman
215,Basketball,Crystal Lake South,Mark Mucha
216,Basketball,Triad,Mike Arbuthnot
217,Basketball,Canton,Jessica Jones
218,Basketball,Saint Viator,Jason Raymond
219,Basketball,Antioch,Tim Borries
220,Basketball,Brooks,Jasmine Robinson
221,Basketball,Lincoln,Taylor Rohrer
222,Basketball,Prairie Ridge,Tim Taege
223,Basketball,Solorio,Arnell Seifer
224,Basketball,Peoria Notre Dame,Layne Langholf
225,Basketball,Streator,Beau Albert
226,Basketball,Harvard,Larin Filip
227,Basketball,Waterloo,Tim Augustine
228,Basketball,Herrin,Bill Green
229,Basketball,Steinmetz College Prep,Joseph Kaminski
230,Basketball,Effingham,Jeff Schafer
231,Basketball,Goode STEM Academy,Kelvyn Phillips
232,Basketball,North Lawndale,Adrienne Godbold
233,Basketball,Northside,Henry Henderson
234,Basketball,Marion,Chris Roberts
235,Basketball,Woodstock,Rick Prterson
236,Basketball,Senn,Rene Long
237,Basketball,Cahokia,Kenny Nance
238,Basketball,Fenton,David Mello
239,Basketball,Morris,Luke Windy
240,Basketball,Muchin College Prep,Elizabeth Greenberg
241,Basketball,Lake View,Nora Buganski
242,Basketball,Ridgewood,Kristi Meade
243,Basketball,Little Village,Kim Bulow
244,Basketball,Charleston,Kyle Daubs
245,Basketball,Glenwood,Marne Fauser
246,Basketball,Elmwood Park,Marinelle Arenga
247,Basketball,Carbondale,Brad Walker
248,Basketball,Evergreen Park,Bruce Scaduto
249,Basketball,Grayslake North,Roger Lass
250,Basketball,Bulls College Prep,Antoine Simmons
251,Basketball,Plano,Dave Lay
252,Basketball,Thornton Fractional North,Julie Heintz
253,Basketball,Johnson,Shawna Hughes
254,Basketball,Rich Central,STEPHEN HILL
255,Basketball,Springfield Southeast,Sandra Griffes-Devoe
256,Basketball,Bogan,Diane Williams
257,Basketball,Limestone,Tony Bentley
258,Basketball,Pritzker,Caroline Schwartz
259,Basketball,Crystal Lake Central,Derek Crabill
260,Basketball,North Grand,Krei Meier
261,Basketball,Mather,Archer Winberg / Courtney Lane
262,Basketball,Mascoutah,Rebecca Harris
263,Basketball,Taylorville,Paul Held
264,Basketball,Bremen,Michael Thompson
265,Basketball,Rochelle,Kay Dobbs
266,Basketball,Rantoul,Renee Reed
267,Basketball,Thornridge,Larry russell
268,Basketball,Chicago Vocational,Peter Perkins
269,Basketball,Centennial,Jeff Carleton
270,Basketball,Bloomington,Tom Whiting
271,Basketball,Decatur Eisenhower,Johnell Evans
272,Basketball,Rich East,Jonnie Bass
273,Basketball,Freeport,Greg Bridges
274,Basketball,East Peoria,Khassandrae Brown
275,Basketball,Belvidere,Christina Douglas
276,Basketball,Illinois Math & Science,JaRod Tobler
277,Basketball,Manual,Holly Nelson
278,Basketball,Instituto Health Sciences,Robert Clanton
279,Basketball,Hinsdale South,Jen Belmonte
280,Basketball,North Chicago,d b
281,Basketball,Prosser,Keshaun Thompson
282,Basketball,Jacksonville,Brandon Radford
283,Basketball,Edwardsville,Lori Blade
284,Basketball,Benet Academy,Joe Kilbride
285,Basketball,Lincoln-Way West,Ryan White
286,Basketball,Maine West,Kim Demarigny
287,Basketball,Joliet West,john placher
288,Basketball,Whitney Young,Kristin Harper
289,Basketball,Marist,Mary Connolly
290,Basketball,Libertyville,Greg Pedersen
291,Basketball,Homewood-Flossmoor,anthony smith
292,Basketball,O'Fallon,Nick Knolhoff
293,Basketball,Joliet Central,Laura Brumfiel
294,Basketball,Fremd,dave yates
295,Basketball,Downers Grove North,Stephan Bolt
296,Basketball,Naperville North,Erin Colletti
297,Basketball,Dundee-Crown,Joe Komaromy
298,Basketball,Rockford Auburn,TBD
299,Basketball,Geneva,Sarah Meadows
300,Basketball,Evanston,Brittanny Johnson
301,Basketball,York,Brandon Collings
302,Basketball,Hersey,Mary Fendley
303,Basketball,Bolingbrook,Christopher Smith
304,Basketball,Stevenson,Ashley Graham
305,Basketball,Maine South,Jeffrey Hamann
306,Basketball,Lake Forest,Kyle Wilhelm
307,Basketball,Wheaton North,David Eaton
308,Basketball,Belleville West,Seth Garrett
309,Basketball,McHenry,Rob Niemic
310,Basketball,Bartlett,Joseph Eirich
311,Basketball,Normal West,Corey Ostling
312,Basketball,Lake Park,Brian Rupp
313,Basketball,South Elgin,DAN MANDERNACK
314,Basketball,Argo,Dan McCarthy
315,Basketball,Lindblom,Dan L Lawson Jr
316,Basketball,West Aurora,Teresa Waldinger
317,Basketball,Barrington,Babbi Barreiro
318,Basketball,Von Steuben,Lanh Morris
319,Basketball,Thornwood,Kevin Green
320,Basketball,Oswego,David Beebe
321,Basketball,Lyons,Kelsey Sopron
322,Basketball,Quincy,Brad Dance
323,Basketball,Mother McAuley,Keisha Newell
324,Basketball,Naperville Central,Andy Nussbaum
325,Basketball,St. Charles North,Mike Tomczak
326,Basketball,Glenbard West,Kristi Faulkner
327,Basketball,Nazareth Academy,Edward Stritzel
328,Basketball,Carmel,Benjamin Berg
329,Basketball,Sandburg,Nicholas Fotopoulos
330,Basketball,Buffalo Grove,Stephen Kolodziej
331,Basketball,Huntley,Steve Raethz
332,Basketball,Hononegah,Randy Weibel
333,Basketball,Moline,Tracy Sant Amour
334,Basketball,Guilford,Leon Smith
335,Basketball,Lincoln-Way Central,Dave Campanile
336,Basketball,Elk Grove,Jennifer Buxton
337,Basketball,New Trier,Teri Rodgers
338,Basketball,Lockport,Dan Kelly
339,Basketball,Thornton,Keithan Holmes
340,Basketball,Proviso East,Ezra PridGeon Jr
341,Basketball,Glenbard East,Donald Finnie
342,Basketball,Harlem,Beth Meyer
343,Basketball,Zion-Benton,Tanya Johnson
344,Basketball,Plainfield South,Lincoln DePaula
345,Basketball,Kennedy,Jazmine Harris
346,Basketball,Lincoln-Way East,Jim Nair
347,Basketball,Jones,Nick Teich
348,Basketball,Palatine,Mark Johnson
349,Basketball,Lake Zurich,Chris Bennett
350,Basketball,Oak Lawn,Mark Sevedge
351,Basketball,Glenbrook North,Nick Capalbo
352,Basketball,Curie,Caelynn Manning-Allen
353,Basketball,Lane Tech,Megan Molloy
354,Basketball,Willowbrook,Terry Harrell
355,Basketball,Collinsville,Steve McFall
356,Basketball,Grant Community,Kevin Geist
357,Basketball,DeKalb,Tyler Bantz
358,Basketball,Rolling Meadows,Ryan Kirkorsky
359,Basketball,Waubonsie Valley,David Owles
360,Basketball,Bloom,Ron Newquist
361,Basketball,Prospect,Marie Miller
362,Basketball,Addison Trail,Cory Little
363,Basketball,Plainfield North,Jim Walter
364,Basketball,Normal Community,Marcus Mann
365,Basketball,Crete-Monee,Edward Ivory
366,Basketball,Highland Park,Jolie Bechtel
367,Basketball,Lincoln Park,LARRY WASHINGTON
368,Basketball,Pekin,Brett McGinnis
369,Basketball,Downers Grove South,Lyndsie Long
370,Basketball,Stagg,Bill Turner
371,Basketball,Streamwood,George Rosner
372,Basketball,Leyden,Stephanie Kuzmanic
373,Basketball,Hubbard,Elton Harris
374,Basketball,Blue Island Eisenhower,Terrence Streater
375,Basketball,Schurz,Beth Rosendahl
376,Basketball,Aurora East,Lee Clayborn
377,Basketball,Glenbrook South,Scott Nemecek
378,Basketball,Thornton Fractional South,Jonathan Hill
379,Basketball,Batavia,Kevin Jensen
380,Basketball,Reavis,Tim Zasada
381,Basketball,Plainfield Central,Armond Frazier
382,Basketball,Cary-Grove,Tony Moretti
383,Basketball,Hinsdale Central,Karen Persinger
384,Basketball,Taft,Iveta Salkauske
385,Basketball,Schaumburg,Jacqueline Storm
386,Basketball,Oswego East,Abe Carretto
387,Basketball,East Moline United,Carie Walker
388,Basketball,Neuqua Valley,MIchael Williams
389,Basketball,Metea Valley,Cedric Williams
390,Basketball,Yorkville,Kim Wensits
391,Basketball,Waukegan,Nicole Keith
392,Basketball,Niles West,Kyle Braheny
393,Basketball,Conant,Todd Strauch
394,Basketball,Shepard,Rick Gamino
395,Basketball,Larkin,Stephen Knapp
396,Basketball,Belleville East,Amanda Kemezys
397,Basketball,Warren Township,John Stanczykiewicz
398,Basketball,Bradley-Bourbonnais,Mike Kohl
399,Basketball,Romeoville,Julio Carrasco
400,Basketball,Cicero Morton,Krissy Anthonsen
401,Basketball,Rockford East,Greg Fiorucci
402,Basketball,St. Charles East,Aubree Schuett
403,Basketball,Minooka,Jeff Easthon
404,Basketball,Proviso West,Terriel Cannon
405,Basketball,Jacobs,Jonathon Reibel
406,Basketball,Maine East,Nicole Rinaldi
407,Basketball,Mundelein,Greg Dorgan
408,Basketball,Plainfield East,Tony Waznonis
409,Basketball,Glenbard North,Steve Wit
410,Basketball,West Chicago,TJ Nall
411,Basketball,Niles North,Dan Paxson
412,Basketball,Wheeling,Matthew Weber
413,Basketball,Wheaton-Warrenville South,Rob Kroehnke
414,Basketball,Oak Park-River Forest,James P Coughlin
415,Basketball,Elgin,Nicholas Bumbales
416,Basketball,Jefferson,Amber Lee-Black
417,Basketball,Alton,Tammy Talbert
418,Basketball,Andrew,Bobby Matz
419,Basketball,Mattoon,Amanda Aydt
420,Basketball,Mt. Zion,Shane Davis
421,Basketball,Lincoln,Taylor Rohrer
422,Basketball,Mahomet-Seymour,Nathan Seal
423,Basketball,Effingham,Jeff Schafer
424,Basketball,Charleston,Kyle Daubs
425,Basketball,Dixon,Luke Ravlin
426,Basketball,Rock Falls,eric wolf
427,Basketball,Winnebago,Judy Krause
428,Basketball,Stillman Valley,Bobby Mellon
429,Basketball,Byron,Eric Yerly
430,Basketball,Mendota,John Hansen
431,Basketball,Lutheran,Joni Carlson
