,sport,school,coach
256,football,Wando,Jimmy Noonan
257,football,West Ashley,Donnie Kiefer
258,football,White Knoll,Frank Howell
259,football,Britton-Hecla,Pat Renner
260,football,Burke/South Central,Mike Sebern
261,football,Canistota/Freeman,James Strang
262,football,Castlewood,Doug Ruesink
263,football,Chester,Ken Prorok
264,football,DeSmet,Mike Warne
265,football,Gayville-Volin,Patrick Beeman
266,football,Gregory,Brian Allmendinger
267,football,Howard,Pat Ruml
268,football,Ipswich/Edmunds Central,Brian Hogie
269,football,Kimball/White Lake,Dale Taylor
270,football,Lyman,Mike Kieffer
271,football,North Border [Eureka/Bowdle/Leola/Frederick],Nicholas Weismantel
272,football,Northwestern Area,Ben Buisket
273,football,Oldham-Ramona/Rutland,Coach Clark
274,football,Philip,"Jerry Rhodes, JR."
275,football,Potter County co-op [Gettysburg/Hoven],Vern Smith
276,football,Sully Buttes,Mark Senftner
277,football,Timber Lake,Brent Mareska
278,football,Tripp-Delmont/Armour/Andes Central/Dakota Christian,Chad Bietz
279,football,Wall,Lex Heathershaw
280,football,Arlington/Lake Preston,Steve Gilbertson
281,football,Baltic,Alan Baskerville
282,football,Bon Homme,Byron Pudwill
283,football,Clark/Willow Lake,Joel Huber
284,football,Deubrook,Tim Cariveau
285,football,Deuel,Dustin Hourigan
286,football,Elkton/Lake Benton,Tal Farnham
287,football,Florence/Henry,Travis Schmidt
288,football,Great Plains Lutheran,Aaron Schleusener
289,football,Hamlin,Jeff Regnier
290,football,Hanson,Jim Haskamp
291,football,Hill City,Brett Eckert
292,football,Jones County/White River,David Hunt
293,football,Lemmon/McIntosh,Austin Feddersen
294,football,Menno/Marion,Austin Herrboldt
295,football,Newell,Paul Graham
296,football,Parker,Derrek Sattler
297,football,Parkston,Eric Norden
298,football,Platte/Geddes,Darren DeNeui
299,football,Viborg/Hurley,Galen Schoenefeld
300,football,Alcester-Hudson,Brian Haak
301,football,Avon,Tom Culver
302,football,Bison,Chet Anderson
303,football,Centerville,Patrick Sees
304,football,Cheyenne-Eagle Butte,Michael Scott
305,football,Colman-Egan,Chad Williamson
306,football,Colome,Ben Connot
307,football,Corsica/Stickney,Jason Broughton
308,football,Crazy Horse,Larry Romero
309,football,Crow Creek,Jamie Fallis
310,football,Dupree,Cooper Wall
311,football,Edgemont,Dustin Christensen
312,football,Estelline/Hendricks,Jeremy Bachman
313,football,Faith,Matt Schackow
314,football,Faulkton,Shayne Geditz
315,football,Harding County,Jay Wammen
